trip_id,arrival_time,departure_time,stop_id,stop_sequence
071-0-20260729-0700-001,07:00:00,07:00:00,453,1
071-0-20260729-0700-002,07:00:00,07:00:00,993,12
071-0-20260729-0700-003,07:00:00,07:00:00,439,6
071-0-20260729-0715-004,07:15:00,07:15:00,453,1
071-0-20260729-0730-005,07:30:00,07:30:00,453,1
071-0-20260729-0745-006,07:45:00,07:45:00,453,1
071-0-20260729-0800-007,08:00:00,08:00:00,453,1
071-0-20260729-0815-008,08:15:00,08:15:00,453,1
071-0-20260729-0830-009,08:30:00,08:30:00,453,1
071-0-20260729-0845-010,08:45:00,08:45:00,453,1
071-0-20260729-0902-011,09:02:00,09:02:00,453,1
071-0-20260729-0919-012,09:19:00,09:19:00,453,1
071-0-20260729-0936-013,09:36:00,09:36:00,453,1
071-0-20260729-0953-014,09:53:00,09:53:00,453,1
071-0-20260729-1010-015,10:10:00,10:10:00,453,1
071-0-20260729-1027-016,10:27:00,10:27:00,453,1
071-0-20260729-1044-017,10:44:00,10:44:00,453,1
071-0-20260729-1102-018,11:02:00,11:02:00,453,1
071-0-20260729-1120-019,11:20:00,11:20:00,453,1
071-0-20260729-1138-020,11:38:00,11:38:00,453,1
071-0-20260729-1156-021,11:56:00,11:56:00,453,1
071-0-20260729-1214-022,12:14:00,12:14:00,453,1
071-0-20260729-1232-023,12:32:00,12:32:00,453,1
071-0-20260729-1250-024,12:50:00,12:50:00,453,1
071-0-20260729-1308-025,13:08:00,13:08:00,453,1
071-0-20260729-1326-026,13:26:00,13:26:00,453,1
071-0-20260729-1344-027,13:44:00,13:44:00,453,1
071-0-20260729-1402-028,14:02:00,14:02:00,453,1
071-0-20260729-1420-029,14:20:00,14:20:00,453,1
071-0-20260729-1438-030,14:38:00,14:38:00,453,1
071-0-20260729-1456-031,14:56:00,14:56:00,453,1
071-0-20260729-1514-032,15:14:00,15:14:00,453,1
071-0-20260729-1532-033,15:32:00,15:32:00,453,1
071-0-20260729-1550-034,15:50:00,15:50:00,453,1
071-0-20260729-1608-035,16:08:00,16:08:00,453,1
071-0-20260729-1626-036,16:26:00,16:26:00,453,1
071-0-20260729-1644-037,16:44:00,16:44:00,453,1
071-0-20260729-1701-038,17:01:00,17:01:00,453,1
071-0-20260729-1718-039,17:18:00,17:18:00,453,1
071-0-20260729-1735-040,17:35:00,17:35:00,453,1
071-0-20260729-1752-041,17:52:00,17:52:00,453,1
071-0-20260729-1809-042,18:09:00,18:09:00,453,1
071-0-20260729-1826-043,18:26:00,18:26:00,453,1
071-0-20260729-1843-044,18:43:00,18:43:00,453,1
071-0-20260729-1900-045,19:00:00,19:00:00,453,1
071-0-20260729-1917-046,19:17:00,19:17:00,453,1
071-0-20260729-1934-047,19:34:00,19:34:00,453,1
071-0-20260729-1951-048,19:51:00,19:51:00,453,1
071-0-20260729-2008-049,20:08:00,20:08:00,453,1
071-0-20260729-2025-050,20:25:00,20:25:00,453,1
071-0-20260729-2042-051,20:42:00,20:42:00,453,1
