stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
58,58,"N-332, s/n (Hotel Torrejoven)_TRV",37.9491,-0.7136,
68,68,"Av. Espuña, ft 89 (C.C. Los Altos) _TRV",37.9543,-0.721,
82,82,"Hospital de Torrevieja, s/n _TRV",37.9643,-0.7173,
95,95,"Av. Dr. Gregorio Marañón, 30 _TRV",37.977,-0.6901,
96,96,"Ctra. CV-95, s/n (Farmacia) _TRV",37.9631,-0.7219,
99,99,"Av. Tomas Boj Andreu, 8 _TRV",37.9546,-0.717,
109,109,"C/ Calera, 27 _TRV",37.9835,-0.6764,
110,110,"C/ Mar Rizada, s/n _TRV",37.947,-0.7092,
111,111,"C/ La Sagra, 1B _TRV",37.9548,-0.7247,
114,114,"C/ La Sagra, ft 164 _TRV",37.9566,-0.7231,
115,115,"C/ La Sagra, 42 _TRV",37.9565,-0.7191,
138,138,"Av. de la Asunción, 5 _TRV",37.9616,-0.7241,
140,140,"C/ Villa Madrid, 13_TRV",37.9785,-0.6894,
141,141,"Av. Dr. Gregorio Marañón, 76 _TRV",37.9723,-0.6945,
145,145,"Av. los Nenúfares, 821 (ITV) _TRV",37.996,-0.6912,
149,149,"C/ de las Gardenias, s/n _TRV",37.9977,-0.6952,
151,151,"C/ de las Gardenias, s/n _TRV",37.9976,-0.6952,
153,153,"C/ Efrén Gutierrez Mateo, s/n (ft Parque) _TRV",38.0025,-0.6953,
163,163,"C/ Efrén Gutierrez Mateo, s/n (Parque) _TRV",38.0025,-0.6954,
166,166,"C/ Henri Matisse, 36 _TRV",38.0114,-0.6882,
167,167,"C/ Henri Matisse, 328A _TRV",38.0114,-0.6882,
168,168,"C/ Elgar, ft 21 _TRV",38.0139,-0.6838,
172,172,"C/ Elgar, 21 _TRV",38.0138,-0.6838,
174,174,"C/ Liszt, 4",38.0173,-0.6867,
175,175,"C/ Purcell, 55 _TRV",38.0174,-0.6869,
177,177,"Av. Abando, 1 _TRV",38.0185,-0.6975,
178,178,"C/ Rembrandt, 2 _TRV",38.0107,-0.6827,
179,179,"C/ Rossini, 26 (C.S. La Siesta) _TRV",38.0127,-0.6919,
180,180,"Av. Cortes Valencianas, s/n (v. serv.) _TRV",37.9949,-0.6731,
181,181,"Av. Asociación Victimas del Terrorismo, 42 _TRV",37.9996,-0.6773,
182,182,"Av. Asociación Victimas del Terrorismo, 1 _TRV",37.9996,-0.6774,
183,183,"Av. Asociación Victimas del Terrorismo, 40 _TRV",38.0024,-0.6739,
186,186,"Av. Torreblanca, 6B _TRV",38.0082,-0.6624,
188,188,"Av. Torreblanca, 3 _TRV",38.0095,-0.6589,
192,192,C/ de los Geranios s/n (C.C.) _TRV,37.9874,-0.6919,
196,196,"Ctra. CV-905, s/n (ft Policía Local) _TRV",37.9911,-0.6884,
200,200,C/ de los Geranios s/n (ft C.C.) _TRV,37.9875,-0.6919,
201,201,"Av. Torreblanca, ft 6B _TRV",38.0081,-0.6625,
211,211,"Av. Rosa Mazón Valero, s/n (ft. G.M.) _TRV",37.9916,-0.6789,
267,267,"Av. Cortes Valencianas, 3 _TRV",37.9862,-0.6785,
374,374,"Av. Cortes Valencianas, s/n (depósito) _TRV",38.0054,-0.6673,
400,400,"C/ Ramón Gallud, 74 (H.Fontana) _TRV",37.9773,-0.6798,
401,401,"C/ Fuensanta, 3 _TRV",37.977,-0.6714,
402,402,"Av. de la Purísima, 10 _TRV",37.9777,-0.6694,
403,403,"Av. de la Purísima, 20 _TRV",37.978,-0.6658,
404,404,"Av. Dr. Mariano Ruiz Cánovas, ft 18 _TRV",37.9824,-0.6618,
405,405,"Av. Dr. Mariano Ruiz Cánovas, ft 372 _TRV",37.9845,-0.6586,
406,406,"Av. Alfredo Nobel, ft 17 _TRV",37.9868,-0.6569,
407,407,"Av. Alfredo Nobel, ft 123A _TRV",37.9905,-0.6561,
408,408,"Av. Alfredo Nobel, ft 143 _TRV",37.9934,-0.6559,
409,409,"Av. Alfredo Nobel, ft 199 _TRV",37.9961,-0.6555,
410,410,"Av. Alfredo Nobel, 150 _TRV",37.999,-0.6526,
411,411,"Av. Juan Martinez Román, s/n _TRV",38.0021,-0.6504,
412,412,"C/ Bogavante, s/n _TRV",38.0051,-0.65,
413,413,"Ctra. del Torrejón, ft 1 _TRV",38.0023,-0.653,
414,414,"Ctra. del Torrejón, 448_TRV",38.0043,-0.6557,
415,415,"Ronda José Samper García, s/n _TRV",38.0093,-0.657,
416,416,"Rda. José Samper García, 2280 _TRV",38.0125,-0.66,
417,417,"Av. Holanda, 51 (C.S. La Mata) _TRV",38.0183,-0.6587,
418,418,"Av. Alemania, 42 _TRV",38.0207,-0.6542,
419,419,"Av. Virgen del Carmen, 24 _TRV",38.0249,-0.655,
420,420,"C/ del Mar, 25 _TRV",38.0279,-0.6553,
421,421,"C/ Mayor, 59 _TRV",38.027,-0.6541,
422,422,"Av. de los Daneses, ft 9 _TRV",38.0236,-0.6547,
423,423,"Av. de los Europeos, 8 _TRV",38.0205,-0.6552,
424,424,"Av. Bélgica, 7 (C.S. La Mata) _TRV",38.0181,-0.6573,
425,425,"Av. Francia, s/n (Parque) _TRV",38.0167,-0.6559,
426,426,"Rda. José Samper García, ft 2280 _TRV",38.0124,-0.6601,
427,427,"Rda. Jose Samper, esq. Av. Agua _TRV",38.0091,-0.6572,
428,428,"Ctra. del Torrejón, ft 448 _TRV",38.0044,-0.656,
429,429,"Ctra. del Torrejón, 1 _TRV",38.0022,-0.6531,
430,430,"Av. Alfredo Nobel, 199 _TRV",37.9962,-0.6555,
431,431,"Av. Alfredo Nobel, 143 _TRV",37.9933,-0.656,
432,432,"Av. Alfredo Nobel, 123A _TRV",37.9907,-0.6563,
433,433,"Av. Alfredo Nobel, 17 _TRV",37.9872,-0.6569,
434,434,"Av. Dr. Mariano Ruiz Cánovas, 372 _TRV",37.9846,-0.6586,
435,435,"Av. Dr. Mariano Ruiz Cánovas, 24 _TRV",37.9829,-0.6614,
436,436,"Av. Dr. Mariano Ruiz Cánovas, 5 _TRV",37.9808,-0.6636,
437,437,"Av. Habaneras, 95 _TRV",37.9806,-0.6667,
438,438,"Av. Habaneras, s/n (esq. María Gil) _TRV",37.9802,-0.6724,
439,439,"C/ Antonio Machado, 137 (Est. Autobuses) _TRV",37.9797,-0.6758,
440,440,"Av. Diego Ramírez Pastor, 125 _TRV",37.9807,-0.6837,
443,443,"Av. Alfredo Nobel, ft 150 _TRV",37.9989,-0.6528,
451,451,"Av. Cortes Valencianas, 39 _TRV",37.9907,-0.6759,
453,453,"Av. Gregorio Marañón, 7 _TRV",37.9768,-0.6867,
501,501,"C/ La Calera, 22 (C.S. Lomas) _TRV",37.9838,-0.6729,
502,502,"Av. París, s/n (esq. Bruselas) _TRV",37.9841,-0.6672,
503,503,"C/ París, s/n (Pza. Sevilla) _TRV",37.9888,-0.6636,
504,504,"Av. Paris, ft 207 _TRV",37.9942,-0.6625,
505,505,"Av. José Zorrilla, s/n (Parque) _TRV",37.9989,-0.661,
506,506,"Rda. Jose Samper García, 2B _TRV",38.0037,-0.6589,
507,507,"Rda. Jose Samper García, 1A _TRV",38.0037,-0.6591,
508,508,Av. José Zorrilla s/n (ft Parque) _TRV,37.9989,-0.6611,
509,509,"Av. París, 207 _TRV",37.9942,-0.6627,
510,510,"C/ París, 123 _TRV",37.9889,-0.6638,
511,511,"C/ París, 55 _TRV",37.9842,-0.6673,
512,512,"C/ Salinero, s/n (C.S. Lomas) _TRV",37.9842,-0.6738,
513,513,"Rda. Ricardo Lafuente, 17 _TRV",37.9844,-0.6832,
514,514,"C/ Orihuela, 71 _TRV",37.9826,-0.6865,
550,550,"C/ Orihuela, 86 _TRV",37.9827,-0.6863,
555,555,"Av. de la Mancha, s/n (esq. Alonso Quijano) _TRV",37.9966,-0.67,
556,556,"Av. Monge y Bielsa, s/n (Zona deportiva) _TRV",37.9965,-0.6753,
558,558,"Av. Torreblanca, 37 _TRV",38.0059,-0.6666,
562,562,"C/ Perseo, 17 _TRV",38.0019,-0.6628,
563,563,"C/ Argonautas, 12_TRV",38.0033,-0.6643,
564,564,"Av. Torreblanca, 22 _TRV",38.006,-0.6659,
565,565,"Hospital Quirón, s/n _TRV",38.0063,-0.6728,
567,567,"Av. Cortes Valencianas, s/n (ADIEM) _TRV",37.9959,-0.6729,
573,573,"Av. Cortes Valencianas, 12 _TRV",37.9861,-0.6783,
601,601,"Av. Diego Ramírez Pastor, 39_TRV",37.98,-0.6875,
602,602,"C/ Villa Madrid, s/n (bajo N-332) _TRV",37.9825,-0.6901,
605,605,"C/ Francisco Atienza, 8 (Carrefour) _TRV",37.9921,-0.6852,
606,606,"C/ Francisco Diaz Martínez, 123 _TRV",37.9946,-0.6864,
607,607,"Av. Ópera, 1 _TRV",37.9983,-0.6892,
608,608,"C/ Bizet, 8 _TRV",38.0106,-0.6947,
609,609,"C/ Rossini, ft 26 (C.S. La Siesta) _TRV",38.0128,-0.6921,
610,610,"C/ Rembrandt, 100 _TRV",38.0106,-0.6827,
